Dress_ID,Style,Price,Rating,Size,Season,NeckLine,SleeveLength,waiseline,Material,FabricType,Decoration,Pattern Type,Recommendation,,Date
1006032852,Sexy,Low,4.6,M,Summer,o-neck,sleevless,empire,null,chiffon,ruffles,animal,1,,01-01-2023
1212192089,Casual,Low,0,L,Summer,o-neck,Petal,natural,microfiber,null,ruffles,animal,0,,02-01-2023
1190380701,vintage,High,0,L,Automn,o-neck,full,natural,polyster,null,null,print,0,,03-01-2023
966005983,Brief,Average,4.6,L,Spring,o-neck,full,natural,silk,chiffon,embroidary,print,1,,04-01-2023
876339541,cute,Low,4.5,M,Summer,o-neck,butterfly,natural,chiffonfabric,chiffon,bow,dot,0,,05-01-2023
1068332458,bohemian,Low,0,M,Summer,v-neck,sleevless,empire,null,null,null,print,0,,06-01-2023
1220707172,Casual,Average,0,XL,Summer,o-neck,full,null,cotton,null,null,solid,0,,07-01-2023
1219677488,Novelty,Average,0,free,Automn,o-neck,short,natural,polyster,broadcloth,lace,null,0,,08-01-2023
1113094204,Flare,Average,0,free,Spring,v-neck,short,empire,cotton,broadcloth,beading,solid,1,,09-01-2023
985292672,bohemian,Low,0,free,Summer,v-neck,sleevless,natural,nylon,chiffon,null,null,1,,10-01-2023
1117293701,party,Average,5,free,Summer,o-neck,full,natural,polyster,broadcloth,lace,solid,0,,11-01-2023
898481530,Flare,Average,0,free,Spring,v-neck,short,null,nylon,null,null,animal,0,,12-01-2023
957723897,sexy,Low,4.7,M,Winter,o-neck,threequarter,null,null,chiffon,lace,print,1,,13-01-2023
749031896,vintage,Average,4.8,M,Summer,o-neck,short,empire,cotton,jersey,null,animal,1,,14-01-2023
1055411544,Casual,Low,5,M,Summer,boat-neck,short,null,cotton,null,sashes,solid,0,,15-01-2023
1162628131,Casual,Low,0,free,Winter,boat-neck,full,null,other,other,lace,null,0,,16-01-2023
624314841,cute,Average,4.7,L,spring,o-neck,short,null,cotton,null,sashes,solid,1,,17-01-2023
830467746,bohemian,Medium,5,free,Automn,o-neck,full,natural,null,null,hollowout,patchwork,1,,18-01-2023
840857118,Brief,Average,0,M,Winter,peterpan-collor,threequarter,natural,cotton,null,null,patchwork,0,,19-01-2023
1113221101,Sexy,Average,5,M,Automn,o-neck,sleevless,empire,milksilk,null,null,null,1,,20-01-2023
